CodeType;number_of_given_answers;expected_answer;given_answer;is_correct;time_in_milliseconds;
sprechende;1;6;6;true;25696;
abstrakt;1;2;1;false;61917;
sprechende;1;9;9;true;13249;
sprechende;1;2;1;false;36835;
abstrakt;1;3;2;false;34223;
abstrakt;1;2;2;true;35817;
abstrakt;1;6;6;true;18685;
abstrakt;1;5;5;true;5918;
sprechende;1;6;2;false;9347;
sprechende;1;5;5;true;20083;
